AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202411,PF,PF,NORDESTE,SUDESTE,até 19 anos,Nao informado,QRDN,P2P,Pix,"26,7",1
202411,PF,PF,NORDESTE,Nao informado,entre 20 e 29 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,"212,08",7
202411,PF,PF,NORTE,NORDESTE,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,"42000,58",118
202411,PF,PF,NORTE,SUL,até 19 anos,até 19 anos,MANU,P2P,Pix,"252753,35",6885
202411,PF,PF,CENTRO-OESTE,CENTRO-OESTE,mais de 60 anos,até 19 anos,QRDN,P2P,Pix,"141236,53",3145
202411,PF,PF,NORTE,NORTE,até 19 anos,até 19 anos,DICT,P2P,Pix,"254959482,96",3251469
202411,PF,PF,NORTE,Nao informado,até 19 anos,Nao informado,MANU,P2P,Pix,"36,52",4
202411,PF,PJ,NORTE,NORTE,entre 20 e 29 anos,Nao se aplica,QRES,P2B,Pix Saque,"1975,91",14
202411,PF,PF,NORDESTE,SUL,entre 30 e 39 anos,entre 40 e 49 anos,QRES,P2P,Pix,"1287896,13",29201
202411,PF,PF,Nao informado,CENTRO-OESTE,entre 50 e 59 anos,entre 50 e 59 anos,MANU,P2P,Pix,"188490,96",276
202411,PF,PJ,SUDESTE,SUDESTE,entre 30 e 39 anos,Nao se aplica,QRDN,P2G,Pix,"111810648,54",388514
202411,PF,PF,NORDESTE,SUL,até 19 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"19272,8",89
202411,PF,PJ,NORDESTE,NORDESTE,entre 40 e 49 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,"10031556,54",6867
202411,PF,PF,NORDESTE,CENTRO-OESTE,mais de 60 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,"26537,06",65
202411,PF,PJ,CENTRO-OESTE,SUDESTE,mais de 60 anos,Nao se aplica,QRDN,P2G,Pix,"561476,17",750
202411,PJ,PF,NORDESTE,NORDESTE,Nao se aplica,entre 40 e 49 anos,Nao disponivel,B2P,Nao disponivel,"12635336,51",71262
202411,PJ,PF,Nao informado,NORDESTE,Nao se aplica,até 19 anos,DICT,B2P,Pix,"92735,96",321
202411,PF,PF,NORDESTE,NORTE,entre 40 e 49 anos,até 19 anos,QRES,P2P,Pix,"101627,68",3368
202411,PF,PF,Nao informado,Nao informado,entre 20 e 29 anos,mais de 60 anos,QRES,P2P,Pix,"8009,18",115
202411,PF,PF,CENTRO-OESTE,SUDESTE,entre 50 e 59 anos,entre 40 e 49 anos,QRES,P2P,Pix,"1179477,91",13155
